room,time,outcome,sale
1,18,64,63.0
1,18,65,64.0
1,18,66,65.0
1,18,67,66.0
1,18,68,67.0
1,18,69,68.0
1,18,70,69.0
1,18,71,70.0
1,18,72,71.0
1,18,73,72.0
1,18,74,73.0
1,18,75,74.0
1,18,76,75.0
1,18,77,76.0
1,18,78,77.0
1,18,79,78.0
1,18,80,79.0
1,18,81,80.0
1,18,82,81.0
1,18,83,82.0
1,18,84,83.0
1,18,85,84.0
1,18,86,85.0
1,18,87,86.0
1,18,88,87.0
1,18,89,-0.0
1,18,90,-0.0
1,18,91,-0.0
1,18,92,-0.0
1,18,93,-0.0
1,18,94,-0.0
1,18,95,-0.0
1,18,96,-0.0
1,18,97,-0.0
1,18,98,-0.0
1,18,99,-0.0
1,18,100,-0.0
1,18,101,-0.0
1,19,1,-0.0
1,19,2,-0.0
1,19,3,-0.0
1,19,4,-0.0
1,19,5,-0.0
1,19,6,-0.0
1,19,7,-0.0
1,19,8,-0.0
1,19,9,-0.0
1,19,10,-0.0
1,19,11,-0.0
1,19,12,-0.0
1,19,13,-0.0
1,19,14,-0.0
1,19,15,-0.0
1,19,16,-0.0
1,19,17,-0.0
1,19,18,-0.0
1,19,19,-0.0
1,19,20,-0.0
1,19,21,-0.0
1,19,22,-0.0
1,19,23,-0.0
1,19,24,-0.0
1,19,25,-0.0
1,19,26,-0.0
1,19,27,-0.0
1,19,28,-0.0
1,19,29,-0.0
1,19,30,-0.0
1,19,31,-0.0
1,19,32,31.0
1,19,33,32.0
1,19,34,33.0
1,19,35,34.0
1,19,36,35.0
1,19,37,36.0
1,19,38,37.0
1,19,39,38.0
1,19,40,39.0
1,19,41,40.0
1,19,42,41.0
1,19,43,42.0
1,19,44,43.0
1,19,45,44.0
1,19,46,45.0
1,19,47,46.0
1,19,48,47.0
1,19,49,48.0
1,19,50,49.0
1,19,51,50.0
1,19,52,51.0
1,19,53,52.0
1,19,54,53.0
1,19,55,54.0
1,19,56,55.0
1,19,57,56.0
1,19,58,57.0
1,19,59,58.0
1,19,60,59.0
1,19,61,60.0
1,19,62,61.0
1,19,63,62.0
1,19,64,63.0
1,19,65,64.0
1,19,66,65.0
1,19,67,66.0
1,19,68,67.0
1,19,69,68.0
1,19,70,69.0
1,19,71,70.0
1,19,72,71.0
1,19,73,72.0
1,19,74,73.0
1,19,75,74.0
1,19,76,75.0
1,19,77,76.0
1,19,78,77.0
1,19,79,78.0
1,19,80,79.0
1,19,81,80.0
1,19,82,81.0
1,19,83,82.0
1,19,84,83.0
1,19,85,84.0
1,19,86,85.0
1,19,87,86.0
1,19,88,87.0
1,19,89,-0.0
1,19,90,-0.0
1,19,91,-0.0
1,19,92,-0.0
1,19,93,-0.0
1,19,94,-0.0
1,19,95,-0.0
1,19,96,-0.0
1,19,97,-0.0
1,19,98,-0.0
1,19,99,-0.0
1,19,100,-0.0
1,19,101,-0.0
1,2,1,-0.0
1,2,2,-0.0
1,2,3,-0.0
1,2,4,-0.0
1,2,5,-0.0
1,2,6,-0.0
1,2,7,-0.0
1,2,8,-0.0
1,2,9,-0.0
1,2,10,-0.0
1,2,11,-0.0
1,2,12,-0.0
1,2,13,-0.0
1,2,14,-0.0
1,2,15,-0.0
1,2,16,-0.0
1,2,17,-0.0
1,2,18,-0.0
1,2,19,-0.0
1,2,20,-0.0
1,2,21,-0.0
1,2,22,-0.0
1,2,23,-0.0
1,2,24,-0.0
1,2,25,-0.0
1,2,26,-0.0
1,2,27,-0.0
1,2,28,-0.0
1,2,29,-0.0
1,2,30,-0.0
1,2,31,-0.0
1,2,32,31.0
1,2,33,32.0
1,2,34,33.0
1,2,35,34.0
1,2,36,35.0
1,2,37,36.0
1,2,38,37.0
1,2,39,38.0
1,2,40,39.0
1,2,41,40.0
1,2,42,41.0
1,2,43,42.0
1,2,44,43.0
1,2,45,44.0
1,2,46,45.0
1,2,47,46.0
1,2,48,47.0
1,2,49,48.0
1,2,50,49.0
1,2,51,50.0
1,2,52,51.0
1,2,53,52.0
1,2,54,53.0
1,2,55,54.0
1,2,56,55.0
1,2,57,56.0
1,2,58,57.0
1,2,59,58.0
1,2,60,59.0
1,2,61,60.0
1,2,62,61.0
1,2,63,62.0
1,2,64,63.0
1,2,65,64.0
1,2,66,65.0
1,2,67,66.0
1,2,68,67.0
1,2,69,68.0
1,2,70,69.0
1,2,71,70.0
1,2,72,71.0
1,2,73,72.0
1,2,74,73.0
1,2,75,74.0
1,2,76,75.0
1,2,77,76.0
1,2,78,77.0
1,2,79,78.0
1,2,80,79.0
1,2,81,80.0
1,2,82,81.0
1,2,83,82.0
1,2,84,83.0
1,2,85,84.0
1,2,86,85.0
1,2,87,86.0
1,2,88,87.0
1,2,89,-0.0
1,2,90,-0.0
1,2,91,-0.0
1,2,92,-0.0
1,2,93,-0.0
1,2,94,-0.0
1,2,95,-0.0
1,2,96,-0.0
1,2,97,-0.0
1,2,98,-0.0
1,2,99,-0.0
1,2,100,-0.0
1,2,101,-0.0
1,20,1,-0.0
1,20,2,-0.0
1,20,3,-0.0
1,20,4,-0.0
1,20,5,-0.0
1,20,6,-0.0
1,20,7,-0.0
1,20,8,-0.0
1,20,9,-0.0
1,20,10,-0.0
1,20,11,-0.0
1,20,12,-0.0
1,20,13,-0.0
1,20,14,-0.0
1,20,15,-0.0
1,20,16,-0.0
1,20,17,-0.0
1,20,18,-0.0
1,20,19,-0.0
1,20,20,-0.0
1,20,21,-0.0
1,20,22,-0.0
1,20,23,-0.0
1,20,24,-0.0
1,20,25,-0.0
1,20,26,-0.0
1,20,27,-0.0
1,20,28,-0.0
1,20,29,-0.0
1,20,30,-0.0
1,20,31,-0.0
1,20,32,-0.0
1,20,33,-0.0
1,20,34,-0.0
1,20,35,-0.0
1,20,36,-0.0
1,20,37,-0.0
1,20,38,-0.0
1,20,39,-0.0
1,20,40,-0.0
1,20,41,-0.0
1,20,42,-0.0
1,20,43,-0.0
1,20,44,-0.0
1,20,45,-0.0
1,20,46,-0.0
1,20,47,-0.0
1,20,48,-0.0
1,20,49,-0.0
1,20,50,-0.0
1,20,51,-0.0
1,20,52,-0.0
1,20,53,-0.0
1,20,54,-0.0
1,20,55,54.0
1,20,56,55.0
1,20,57,56.0
1,20,58,57.0
1,20,59,58.0
1,20,60,59.0
1,20,61,60.0
1,20,62,61.0
1,20,63,62.0
1,20,64,63.0
1,20,65,64.0
1,20,66,65.0
1,20,67,66.0
1,20,68,67.0
1,20,69,68.0
1,20,70,69.0
1,20,71,70.0
1,20,72,71.0
1,20,73,72.0
1,20,74,73.0
1,20,75,74.0
1,20,76,75.0
1,20,77,76.0
1,20,78,77.0
1,20,79,78.0
1,20,80,79.0
1,20,81,80.0
1,20,82,81.0
1,20,83,82.0
1,20,84,83.0
1,20,85,84.0
1,20,86,85.0
1,20,87,86.0
1,20,88,87.0
1,20,89,88.0
1,20,90,89.0
1,20,91,90.0
1,20,92,91.0
1,20,93,92.0
1,20,94,93.0
1,20,95,94.0
1,20,96,95.0
1,20,97,96.0
1,20,98,97.0
1,20,99,98.0
1,20,100,99.0
1,20,101,-0.0
1,21,1,-0.0
1,21,2,-0.0
1,21,3,-0.0
1,21,4,-0.0
1,21,5,-0.0
1,21,6,-0.0
1,21,7,-0.0
1,21,8,-0.0
1,21,9,-0.0
1,21,10,-0.0
1,21,11,-0.0
1,21,12,-0.0
1,21,13,-0.0
1,21,14,-0.0
1,21,15,-0.0
1,21,16,-0.0
1,21,17,-0.0
1,21,18,-0.0
1,21,19,-0.0
